age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,predicted_probability
36,entrepreneur,single,university.degree,no,yes,no,cellular,nov,wed,142,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,0.87
36,entrepreneur,single,university.degree,no,yes,no,cellular,nov,wed,95,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,0.87
32,admin.,single,university.degree,no,no,no,cellular,jun,fri,255,1,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes,0.87
48,technician,married,professional.course,no,no,no,cellular,oct,thu,491,1,6,3,success,-1.1,94.601,-49.5,0.987,4963.6,yes,0.87
41,admin.,married,university.degree,no,yes,no,cellular,apr,fri,342,1,999,0,nonexistent,-1.8,93.749,-34.6,0.645,5008.7,yes,0.8675
52,management,married,university.degree,no,yes,no,cellular,may,fri,787,3,3,3,success,-1.8,93.876,-40.0,0.684,5008.7,yes,0.865
24,student,single,high.school,no,yes,yes,cellular,sep,wed,251,2,6,2,success,-1.1,94.199,-37.5,0.876,4963.6,yes,0.855
70,retired,divorced,basic.4y,no,no,no,cellular,jul,thu,390,2,6,2,success,-1.7,94.215,-40.3,0.846,4991.6,yes,0.855
45,admin.,married,university.degree,no,no,no,cellular,sep,mon,351,1,3,2,success,-3.4,92.379,-29.8,0.797,5017.5,yes,0.855
40,admin.,married,high.school,no,yes,no,cellular,apr,thu,160,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no,0.8525
40,admin.,married,high.school,no,yes,no,cellular,apr,thu,401,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no,0.8525
40,technician,married,professional.course,no,yes,no,cellular,may,wed,248,1,3,4,success,-1.8,93.876,-40.0,0.682,5008.7,yes,0.85
32,admin.,single,university.degree,no,yes,no,cellular,jul,thu,250,2,6,1,success,-1.7,94.215,-40.3,0.846,4991.6,no,0.85
83,retired,divorced,basic.4y,no,no,no,cellular,sep,thu,268,1,9,3,success,-1.1,94.199,-37.5,0.879,4963.6,yes,0.85
20,student,single,unknown,no,no,no,cellular,may,tue,530,2,3,5,success,-1.8,93.876,-40.0,0.697,5008.7,yes,0.8475
41,unemployed,married,high.school,no,yes,yes,cellular,sep,wed,175,1,6,1,success,-1.1,94.199,-37.5,0.879,4963.6,yes,0.8475
30,admin.,single,university.degree,no,no,no,cellular,apr,thu,662,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes,0.8460800383545986
30,admin.,single,university.degree,no,no,no,cellular,apr,thu,69,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no,0.8460800383545986
61,management,married,university.degree,no,yes,no,cellular,nov,tue,195,1,7,1,success,-3.4,92.649,-30.1,0.715,5017.5,yes,0.8425
52,admin.,married,university.degree,no,no,no,cellular,may,thu,613,1,3,2,success,-1.8,93.876,-40.0,0.677,5008.7,yes,0.84
52,management,married,university.degree,no,no,no,cellular,may,fri,404,2,9,1,success,-1.8,93.876,-40.0,0.684,5008.7,yes,0.84
37,admin.,married,high.school,no,yes,no,cellular,apr,thu,226,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,no,0.84
36,unemployed,married,high.school,no,yes,no,cellular,oct,mon,304,1,3,1,success,-1.1,94.601,-49.5,1.032,4963.6,yes,0.84
27,admin.,single,university.degree,no,yes,no,cellular,aug,wed,1117,2,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,no,0.8358787996763384
78,retired,married,unknown,no,no,no,cellular,mar,thu,272,1,6,2,success,-1.8,93.369,-34.8,0.635,5008.7,yes,0.8325
26,student,single,high.school,no,yes,yes,cellular,apr,fri,888,1,6,2,success,-1.8,93.749,-34.6,0.645,5008.7,yes,0.8325
23,student,single,professional.course,no,yes,no,cellular,sep,wed,316,1,8,2,success,-1.1,94.199,-37.5,0.876,4963.6,yes,0.83
34,admin.,single,university.degree,no,no,yes,cellular,mar,tue,236,1,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7,yes,0.83
36,admin.,single,university.degree,no,no,no,cellular,jun,wed,706,1,7,1,success,-1.7,94.055,-39.8,0.739,4991.6,yes,0.83
80,retired,married,basic.4y,no,no,no,cellular,may,mon,382,1,3,3,success,-1.8,93.876,-40.0,0.697,5008.7,yes,0.8275
34,admin.,single,university.degree,no,yes,no,cellular,mar,tue,265,2,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7,no,0.825
32,management,single,university.degree,no,yes,no,cellular,mar,tue,71,3,999,0,nonexistent,-1.8,92.843,-50.0,1.687,5099.1,yes,0.8230230911580391
30,technician,single,professional.course,no,no,no,cellular,sep,tue,706,1,6,1,success,-1.1,94.199,-37.5,0.877,4963.6,no,0.8225
32,admin.,single,university.degree,no,yes,no,cellular,jul,thu,210,2,15,1,success,-1.7,94.215,-40.3,0.846,4991.6,no,0.82
35,admin.,single,university.degree,no,yes,no,cellular,apr,thu,388,2,999,0,nonexistent,-1.8,93.749,-34.6,0.659,5008.7,yes,0.8175
28,admin.,single,university.degree,no,no,no,cellular,mar,thu,125,1,999,0,nonexistent,-1.8,93.369,-34.8,0.643,5008.7,no,0.8175
73,retired,married,basic.4y,no,yes,no,cellular,jul,tue,305,1,999,0,nonexistent,-1.7,94.215,-40.3,0.835,4991.6,yes,0.815
24,admin.,single,university.degree,no,yes,yes,cellular,aug,fri,101,5,6,2,success,-1.7,94.027,-38.3,0.905,4991.6,no,0.81
37,admin.,married,university.degree,no,yes,no,cellular,nov,fri,315,1,999,0,nonexistent,-1.1,94.767,-50.8,1.04,4963.6,yes,0.8075
39,admin.,single,high.school,no,yes,no,cellular,mar,tue,100,2,999,0,nonexistent,-1.8,92.843,-50.0,1.687,5099.1,no,0.8050014608027071
42,services,married,high.school,no,yes,no,cellular,apr,thu,501,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes,0.805
33,housemaid,married,high.school,no,no,no,telephone,oct,tue,37,1,999,0,nonexistent,-0.1,93.798,-40.4,4.968,5195.8,yes,0.805
48,admin.,divorced,high.school,no,no,no,cellular,jun,wed,657,1,6,1,success,-1.7,94.055,-39.8,0.704,4991.6,yes,0.805
25,admin.,single,university.degree,no,no,yes,cellular,nov,mon,165,1,3,2,success,-3.4,92.649,-30.1,0.715,5017.5,yes,0.805
45,admin.,divorced,university.degree,no,no,yes,cellular,jun,wed,79,1,3,2,success,-1.7,94.055,-39.8,0.739,4991.6,no,0.8025
38,technician,married,professional.course,no,yes,no,cellular,apr,thu,110,1,999,1,failure,-1.8,93.075,-47.1,1.365,5099.1,no,0.8
20,student,single,basic.9y,no,yes,no,cellular,jul,thu,361,3,6,3,success,-1.7,94.215,-40.3,0.846,4991.6,yes,0.8
26,admin.,married,high.school,no,yes,no,cellular,nov,fri,338,1,7,1,success,-3.4,92.649,-30.1,0.714,5017.5,yes,0.795
77,retired,married,university.degree,no,yes,no,telephone,may,wed,372,1,3,4,success,-1.8,93.876,-40.0,0.682,5008.7,yes,0.7925
35,technician,divorced,basic.4y,no,yes,no,cellular,nov,tue,385,3,4,2,success,-1.1,94.767,-50.8,1.035,4963.6,yes,0.7925
56,retired,married,high.school,no,no,no,cellular,jun,tue,383,1,3,1,success,-1.7,94.055,-39.8,0.761,4991.6,yes,0.7925
28,admin.,single,high.school,no,yes,no,cellular,mar,fri,342,1,999,0,nonexistent,-1.8,92.843,-50.0,1.531,5099.1,yes,0.79
56,technician,divorced,professional.course,no,no,no,cellular,oct,mon,464,1,3,2,success,-1.1,94.601,-49.5,1.0,4963.6,yes,0.79
28,admin.,single,high.school,no,yes,no,cellular,mar,fri,102,1,999,0,nonexistent,-1.8,92.843,-50.0,1.531,5099.1,no,0.79
33,admin.,single,university.degree,no,yes,no,cellular,apr,thu,280,1,7,2,success,-1.8,93.749,-34.6,0.635,5008.7,yes,0.79
47,admin.,single,basic.9y,no,yes,yes,cellular,jul,thu,392,2,6,1,success,-1.7,94.215,-40.3,0.846,4991.6,yes,0.7897141038399548
29,admin.,single,high.school,no,yes,no,cellular,nov,fri,176,2,7,2,success,-3.4,92.649,-30.1,0.714,5017.5,yes,0.7875
35,admin.,married,university.degree,no,no,no,cellular,jul,mon,768,2,3,4,success,-1.7,94.215,-40.3,0.889,4991.6,no,0.7875
28,student,single,basic.9y,no,yes,no,cellular,mar,tue,96,2,999,0,nonexistent,-1.8,92.843,-50.0,1.799,5099.1,yes,0.785
27,admin.,single,university.degree,no,no,no,cellular,mar,tue,273,1,999,0,nonexistent,-1.8,93.369,-34.8,0.637,5008.7,yes,0.78
62,retired,married,university.degree,no,no,no,cellular,nov,thu,483,2,6,3,success,-1.1,94.767,-50.8,1.031,4963.6,yes,0.78
63,admin.,married,university.degree,no,yes,no,cellular,jul,fri,396,2,999,0,nonexistent,-1.7,94.215,-40.3,0.885,4991.6,yes,0.7775
44,services,divorced,basic.6y,no,yes,no,cellular,aug,wed,153,3,0,1,success,-1.7,94.027,-38.3,0.9,4991.6,yes,0.7775
65,management,married,unknown,no,no,no,cellular,dec,wed,456,2,9,1,success,-3.0,92.713,-33.0,0.715,5023.5,yes,0.7775
46,admin.,married,university.degree,no,yes,no,cellular,mar,thu,335,1,999,0,nonexistent,-1.8,93.369,-34.8,0.65,5008.7,yes,0.775
35,admin.,married,university.degree,no,yes,no,cellular,nov,wed,94,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,0.7733555086779927
35,admin.,married,university.degree,no,yes,no,cellular,nov,wed,112,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,0.7733555086779927
31,admin.,single,university.degree,no,yes,no,cellular,jul,fri,815,2,13,2,success,-1.7,94.215,-40.3,0.861,4991.6,yes,0.77
34,admin.,divorced,high.school,no,no,no,cellular,nov,tue,492,2,6,3,success,-3.4,92.649,-30.1,0.716,5017.5,no,0.77
56,technician,married,basic.4y,no,no,no,cellular,oct,thu,306,3,3,1,success,-3.4,92.431,-26.9,0.733,5017.5,yes,0.77
28,services,single,basic.6y,no,no,no,cellular,jun,wed,385,2,4,1,success,-2.9,92.963,-40.8,1.26,5076.2,yes,0.7694955614135953
34,technician,married,professional.course,no,yes,no,cellular,oct,wed,442,2,8,1,success,-3.4,92.431,-26.9,0.735,5017.5,yes,0.765
28,student,single,university.degree,no,unknown,unknown,cellular,may,fri,1027,2,999,0,nonexistent,-1.8,93.876,-40.0,0.695,5008.7,yes,0.765
37,admin.,married,high.school,no,no,no,telephone,apr,tue,426,2,999,0,nonexistent,-1.8,93.749,-34.6,0.646,5008.7,yes,0.765
36,blue-collar,single,basic.6y,no,yes,no,cellular,nov,tue,330,1,999,0,nonexistent,-1.1,94.767,-50.8,1.046,4963.6,yes,0.76
52,admin.,married,professional.course,no,no,no,cellular,sep,wed,953,2,999,0,nonexistent,-1.1,94.199,-37.5,0.876,4963.6,yes,0.7575
37,unemployed,single,university.degree,no,yes,no,cellular,jun,thu,122,2,6,1,success,-1.7,94.055,-39.8,0.742,4991.6,no,0.7525
43,admin.,married,high.school,no,yes,no,cellular,dec,tue,72,4,6,1,success,-3.0,92.713,-33.0,0.715,5023.5,no,0.7525
60,retired,married,professional.course,no,yes,yes,cellular,jul,thu,95,4,6,2,success,-1.7,94.215,-40.3,0.899,4991.6,no,0.7509453410045057
25,admin.,single,university.degree,no,yes,no,cellular,sep,thu,420,1,1,1,success,-3.4,92.379,-29.8,0.809,5017.5,no,0.75
82,retired,single,basic.4y,no,yes,no,cellular,oct,thu,185,2,999,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,no,0.749898112691466
59,retired,divorced,basic.4y,no,yes,yes,cellular,jul,mon,796,1,6,1,success,-1.7,94.215,-40.3,0.827,4991.6,yes,0.7482648260171839
31,student,single,university.degree,no,no,no,cellular,aug,tue,224,1,9,2,failure,-1.7,94.027,-38.3,0.899,4991.6,no,0.7475
32,admin.,married,university.degree,no,yes,yes,cellular,jun,tue,384,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes,0.7472172989377844
41,services,married,high.school,no,no,no,cellular,mar,wed,396,2,999,0,nonexistent,-1.8,92.843,-50.0,1.778,5099.1,yes,0.7447163884673748
72,retired,married,basic.4y,no,no,yes,cellular,jul,fri,483,4,8,1,success,-1.7,94.215,-40.3,0.822,4991.6,yes,0.7443864869216725
68,retired,married,basic.4y,no,yes,no,cellular,apr,fri,177,1,999,0,nonexistent,-1.8,93.749,-34.6,0.644,5008.7,no,0.7425
42,self-employed,married,university.degree,no,yes,no,cellular,jun,wed,436,1,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,yes,0.74222344461305
33,admin.,single,high.school,no,no,no,cellular,oct,mon,87,1,999,0,nonexistent,-3.4,92.431,-26.9,0.731,5017.5,no,0.7422172230652504
35,admin.,married,university.degree,no,no,no,cellular,jun,thu,121,4,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes,0.74
37,admin.,married,high.school,no,yes,no,cellular,jul,thu,230,2,999,0,nonexistent,-1.7,94.215,-40.3,0.81,4991.6,no,0.74
27,admin.,married,university.degree,no,yes,no,cellular,aug,tue,415,5,12,1,success,-1.7,94.027,-38.3,0.886,4991.6,yes,0.74
29,admin.,married,high.school,no,yes,no,cellular,jun,tue,379,2,13,1,success,-1.7,94.055,-39.8,0.723,4991.6,yes,0.74
34,technician,single,unknown,no,yes,no,cellular,aug,thu,320,2,3,1,success,-2.9,92.201,-31.4,0.851,5076.2,yes,0.74
46,admin.,married,university.degree,no,yes,no,cellular,jul,fri,341,3,999,0,nonexistent,-1.7,94.215,-40.3,0.822,4991.6,yes,0.74
32,technician,divorced,professional.course,no,no,no,cellular,mar,tue,115,2,999,0,nonexistent,-1.8,92.843,-50.0,1.556,5099.1,no,0.7385179819947342
33,student,married,professional.course,no,yes,no,cellular,aug,mon,265,3,3,4,success,-1.7,94.027,-38.3,0.896,4991.6,yes,0.7375
29,admin.,single,university.degree,no,yes,no,telephone,jun,wed,294,2,3,1,success,-1.7,94.055,-39.8,0.715,4991.6,no,0.7375
57,unknown,married,basic.4y,no,yes,no,cellular,jul,wed,183,3,999,0,nonexistent,-1.7,94.215,-40.3,0.802,4991.6,no,0.735
49,admin.,married,high.school,unknown,no,no,cellular,oct,wed,169,1,6,3,success,-1.1,94.601,-49.5,0.985,4963.6,yes,0.7325
39,services,married,high.school,no,yes,no,cellular,apr,thu,243,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no,0.7325
32,admin.,married,university.degree,no,no,yes,cellular,jun,thu,327,3,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,yes,0.7313214855153689
35,technician,divorced,basic.4y,no,no,no,cellular,nov,tue,363,1,999,0,nonexistent,-1.1,94.767,-50.8,1.035,4963.6,yes,0.73
26,blue-collar,married,basic.9y,no,no,no,cellular,apr,thu,334,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes,0.73
60,unemployed,married,basic.4y,no,no,no,cellular,nov,thu,627,2,6,1,success,-3.4,92.649,-30.1,0.714,5017.5,yes,0.73
46,technician,married,professional.course,no,no,yes,cellular,apr,tue,189,1,5,2,success,-1.8,93.749,-34.6,0.638,5008.7,yes,0.726665477996965
61,retired,married,basic.4y,no,yes,no,cellular,aug,fri,168,1,15,1,success,-2.9,92.201,-31.4,0.849,5076.2,yes,0.725
36,blue-collar,single,high.school,no,yes,yes,cellular,jun,wed,342,2,3,1,success,-1.7,94.055,-39.8,0.739,4991.6,yes,0.725
27,admin.,single,professional.course,no,no,no,cellular,jul,tue,338,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,0.725
36,self-employed,single,university.degree,no,yes,no,telephone,oct,thu,248,1,999,0,nonexistent,-0.1,93.798,-40.4,4.794,5195.8,yes,0.7225
36,management,married,university.degree,no,no,no,cellular,jun,tue,867,1,3,2,success,-1.7,94.055,-39.8,0.737,4991.6,yes,0.7225
30,admin.,single,university.degree,no,no,no,cellular,jul,tue,212,1,3,2,success,-1.7,94.215,-40.3,0.797,4991.6,no,0.7225
33,management,married,university.degree,no,no,no,telephone,aug,thu,201,1,6,2,success,-1.7,94.027,-38.3,0.899,4991.6,yes,0.72
30,admin.,single,university.degree,no,yes,no,cellular,jul,tue,255,2,3,1,success,-1.7,94.215,-40.3,0.797,4991.6,no,0.72
34,technician,single,basic.9y,no,no,no,cellular,aug,mon,205,3,6,3,success,-1.7,94.027,-38.3,0.896,4991.6,yes,0.72
41,technician,married,professional.course,no,no,no,cellular,nov,mon,526,2,6,1,success,-1.1,94.767,-50.8,1.039,4963.6,yes,0.7175
21,student,single,high.school,no,yes,no,cellular,aug,tue,263,3,9,2,success,-1.7,94.027,-38.3,0.899,4991.6,yes,0.7175
42,technician,married,professional.course,no,no,no,cellular,apr,thu,94,1,999,1,failure,-1.8,93.075,-47.1,1.365,5099.1,no,0.7175
49,unemployed,married,high.school,no,yes,no,cellular,sep,wed,177,1,999,0,nonexistent,-3.4,92.379,-29.8,0.768,5017.5,no,0.715
37,admin.,divorced,university.degree,no,no,no,cellular,aug,thu,329,3,9,1,success,-2.9,92.201,-31.4,0.851,5076.2,yes,0.715
50,technician,married,high.school,no,yes,no,cellular,dec,mon,229,1,999,1,failure,-3.0,92.713,-33.0,0.717,5023.5,yes,0.7125
48,unemployed,single,basic.9y,no,yes,no,cellular,apr,thu,242,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,yes,0.7125
44,admin.,married,university.degree,no,no,no,cellular,oct,wed,1206,1,999,0,nonexistent,-3.4,92.431,-26.9,0.735,5017.5,no,0.7097142640364189
63,admin.,married,university.degree,no,yes,no,cellular,oct,thu,174,2,6,1,success,-1.1,94.601,-49.5,0.987,4963.6,no,0.7075
29,management,married,university.degree,no,yes,no,cellular,nov,wed,199,1,9,1,success,-3.4,92.649,-30.1,0.719,5017.5,no,0.7075
33,entrepreneur,married,university.degree,no,yes,no,telephone,oct,tue,454,1,999,0,nonexistent,-0.1,93.798,-40.4,4.86,5195.8,yes,0.7075
42,blue-collar,married,basic.6y,no,yes,yes,cellular,mar,tue,185,1,7,3,failure,-1.8,93.369,-34.8,0.652,5008.7,yes,0.7075
30,admin.,single,university.degree,no,no,no,cellular,aug,thu,152,4,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,0.706254008723547
25,admin.,single,university.degree,no,yes,yes,cellular,jun,tue,431,3,4,1,success,-2.9,92.963,-40.8,1.286,5076.2,no,0.7051647220388321
60,self-employed,divorced,university.degree,no,no,no,cellular,sep,tue,83,1,3,1,success,-3.4,92.379,-29.8,0.755,5017.5,yes,0.705
33,admin.,single,university.degree,no,yes,no,cellular,jun,thu,114,3,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no,0.705
56,admin.,married,university.degree,no,yes,no,cellular,sep,thu,169,2,3,2,success,-3.4,92.379,-29.8,0.778,5017.5,yes,0.705
32,management,single,university.degree,no,no,no,cellular,aug,thu,149,1,3,2,success,-2.9,92.201,-31.4,0.851,5076.2,yes,0.7040221610998695
23,blue-collar,single,high.school,no,no,no,cellular,jul,wed,251,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no,0.7015615105725359
51,technician,married,professional.course,no,yes,no,cellular,apr,thu,341,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes,0.7
22,student,single,high.school,no,no,no,cellular,oct,fri,154,2,999,1,failure,-3.4,92.431,-26.9,0.739,5017.5,yes,0.7
51,technician,married,professional.course,no,yes,no,cellular,apr,thu,115,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no,0.7
34,technician,single,university.degree,no,no,no,cellular,oct,fri,144,1,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,yes,0.7
56,admin.,divorced,unknown,no,no,no,cellular,dec,wed,205,1,999,0,nonexistent,-3.0,92.713,-33.0,0.715,5023.5,no,0.6975
38,technician,married,professional.course,no,no,no,cellular,mar,thu,66,3,999,0,nonexistent,-1.8,92.843,-50.0,1.757,5099.1,no,0.6970636704725861
27,services,married,university.degree,no,yes,no,cellular,may,tue,109,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no,0.695
56,management,married,professional.course,no,no,no,cellular,dec,wed,124,1,999,0,nonexistent,-3.0,92.713,-33.0,0.715,5023.5,no,0.695
23,student,single,university.degree,no,yes,no,cellular,dec,fri,127,2,6,2,success,-3.0,92.713,-33.0,0.718,5023.5,no,0.695
25,admin.,single,university.degree,no,no,no,cellular,aug,thu,215,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,yes,0.695
63,retired,married,basic.4y,no,no,no,cellular,jul,fri,273,1,999,0,nonexistent,-1.7,94.215,-40.3,0.896,4991.6,no,0.695
26,admin.,single,university.degree,no,no,yes,cellular,jun,fri,91,2,6,1,success,-1.7,94.055,-39.8,0.732,4991.6,no,0.695
39,blue-collar,single,basic.9y,no,yes,yes,cellular,may,mon,78,3,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,no,0.6941519210752591
