VendorID,tpep_pickup_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,pickup_borough,payment_type,fare_amount,mta_tax,improvement_surcharge,congestion_surcharge,tolls_amount,tip_amount,total_amount
2,2024-01-28 13:13:56,4,1.29,241,86,Brooklyn,1,7.63,0.5,1.0,0.0,0.0,1.2,10.33
1,2024-01-03 19:10:20,4,4.16,246,206,Manhattan,1,19.92,0.5,1.0,2.75,0.0,4.01,28.18
2,2024-01-26 15:44:40,1,5.67,161,141,Queens,1,17.77,0.5,1.0,0.0,0.0,2.29,21.56
1,2024-01-16 17:15:13,4,5.67,160,125,Queens,1,22.41,0.5,1.0,0.0,0.0,3.3,27.21
2,2024-01-03 21:30:23,1,2.3,221,240,Brooklyn,1,9.12,0.5,1.0,0.0,0.0,1.76,12.38
1,2024-01-20 10:36:42,1,0.7,49,204,Manhattan,1,7.46,0.5,1.0,2.75,0.0,1.44,13.15
1,2024-01-26 09:16:07,2,0.61,58,221,Manhattan,1,6.14,0.5,1.0,2.75,0.0,1.29,11.68
2,2024-01-23 08:25:28,2,1.91,255,4,Brooklyn,2,8.85,0.5,1.0,0.0,0.0,0.1,10.45
1,2024-01-08 10:16:34,1,1.68,127,126,Queens,1,7.56,0.5,1.0,0.0,0.0,1.25,10.31
1,2024-01-09 13:44:49,2,0.96,261,3,Queens,2,4.17,0.5,1.0,0.0,0.0,0.03,5.7
1,2024-01-17 21:07:14,3,6.61,34,154,Manhattan,1,25.8,0.5,1.0,2.75,0.0,3.04,33.09
1,2024-01-16 06:48:49,4,13.77,179,173,Manhattan,1,44.35,0.5,1.0,2.75,0.0,5.18,53.78
1,2024-01-08 18:17:32,3,1.76,231,36,Staten Island,1,10.21,0.5,1.0,0.0,0.0,1.73,13.44
1,2024-01-17 13:37:55,2,4.3,226,50,Brooklyn,1,16.05,0.5,1.0,0.0,0.0,3.95,21.5
2,2024-01-10 07:46:26,4,3.78,73,14,Queens,1,18.81,0.5,1.0,0.0,0.0,4.62,24.93
1,2024-01-25 19:38:20,1,6.21,244,195,Manhattan,1,23.89,0.5,1.0,2.75,0.0,3.73,31.87
2,2024-01-12 23:28:14,4,18.68,137,117,JFK Airport,1,76.74,0.5,1.0,0.0,0.0,16.78,95.02
2,2024-01-12 14:29:27,2,1.4,223,82,Manhattan,2,10.3,0.5,1.0,2.75,0.0,0.03,14.58
2,2024-01-23 10:02:59,6,16.78,72,115,JFK Airport,1,71.6,0.5,1.0,0.0,0.0,11.31,84.41
1,2024-01-17 21:37:18,1,2.31,217,42,Brooklyn,1,7.99,0.5,1.0,0.0,0.0,0.98,10.47
1,2024-01-24 19:54:15,1,5.87,119,133,Brooklyn,2,23.46,0.5,1.0,0.0,0.0,0.16,25.12
1,2024-01-20 09:05:13,1,2.89,110,100,Manhattan,1,13.65,0.5,1.0,2.75,0.0,2.45,20.35
2,2024-01-11 19:08:10,2,3.73,92,157,Bronx,1,18.88,0.5,1.0,0.0,0.0,3.81,24.19
2,2024-01-01 18:59:26,1,3.29,85,70,Brooklyn,2,15.41,0.5,1.0,0.0,0.0,0.28,17.19
2,2024-01-24 20:04:12,1,0.0,197,164,Manhattan,1,12.65,0.5,1.0,2.75,0.0,1.65,18.55
1,2024-01-11 05:49:00,3,3.12,94,251,Queens,1,14.51,0.5,1.0,0.0,0.0,2.76,18.77
2,2024-01-24 23:55:47,6,2.05,215,90,Manhattan,1,13.27,0.5,1.0,2.75,0.0,2.7,20.22
1,2024-01-05 14:21:38,2,3.51,32,216,Queens,1,13.98,0.5,1.0,0.0,0.0,2.16,17.64
1,2024-01-13 13:09:40,3,16.29,209,26,JFK Airport,1,76.32,0.5,1.0,0.0,6.94,13.93,98.69
2,2024-01-06 23:27:40,3,2.56,59,201,Manhattan,1,16.05,0.5,1.0,2.75,0.0,1.77,22.07
1,2024-01-05 08:53:47,4,1.47,219,118,Manhattan,1,12.54,0.5,1.0,2.75,0.0,2.0,18.79
2,2024-01-10 14:25:26,5,2.72,45,54,Brooklyn,1,15.64,0.5,1.0,0.0,0.0,2.67,19.81
2,2024-01-10 18:55:36,5,5.39,242,16,Manhattan,1,24.97,0.5,1.0,2.75,0.0,4.0,33.22
1,2024-01-15 19:33:31,5,0.7,162,13,Manhattan,1,8.49,0.5,1.0,2.75,0.0,1.81,14.55
1,2024-01-21 18:11:51,1,6.05,133,174,Brooklyn,1,20.41,0.5,1.0,0.0,0.0,4.77,26.68
1,2024-01-03 16:57:03,2,1.97,12,5,Brooklyn,2,14.34,0.5,1.0,0.0,0.0,0.41,16.25
1,2024-01-23 07:10:21,2,0.57,40,119,Queens,1,7.33,0.5,1.0,0.0,0.0,1.53,10.36
1,2024-01-06 21:10:30,2,1.65,77,19,Brooklyn,1,8.85,0.5,1.0,0.0,0.0,2.13,12.48
2,2024-01-16 07:08:58,3,5.85,31,237,Manhattan,1,22.41,0.5,1.0,2.75,0.0,2.31,28.97
1,2024-01-15 03:43:08,2,2.63,259,196,Manhattan,2,14.02,0.5,1.0,2.75,0.0,0.17,18.44
2,2024-01-24 10:01:50,6,1.12,88,83,Queens,1,10.31,0.5,1.0,0.0,0.0,1.38,13.19
2,2024-01-03 17:13:04,1,2.22,58,231,Manhattan,1,12.44,0.5,1.0,2.75,0.0,1.57,18.26
1,2024-01-27 19:17:18,2,2.24,47,169,Queens,2,10.32,0.5,1.0,0.0,0.0,0.19,12.01
2,2024-01-14 11:35:36,1,11.44,44,152,JFK Airport,1,65.06,0.5,1.0,0.0,6.94,9.91,83.41
2,2024-01-11 09:12:13,1,1.96,191,134,Queens,1,10.15,0.5,1.0,0.0,0.0,2.32,13.97
1,2024-01-27 02:15:50,5,5.19,54,154,Brooklyn,2,18.82,0.5,1.0,0.0,0.0,0.3,20.62
2,2024-01-01 15:48:39,6,18.08,66,50,JFK Airport,2,69.93,0.5,1.0,0.0,6.94,1.81,80.18
1,2024-01-26 10:53:26,6,1.03,43,125,Bronx,1,7.34,0.5,1.0,0.0,0.0,1.67,10.51
2,2024-01-13 11:14:07,3,0.85,188,90,Manhattan,2,7.39,0.5,1.0,2.75,0.0,0.14,11.78
1,2024-01-10 10:59:47,1,2.77,156,201,Queens,1,15.3,0.5,1.0,0.0,0.0,2.59,19.39
1,2024-01-24 08:11:10,1,4.3,144,65,Brooklyn,2,17.65,0.5,1.0,0.0,0.0,0.48,19.63
2,2024-01-19 13:39:35,1,10.49,68,146,JFK Airport,2,68.9,0.5,1.0,0.0,6.94,0.09,77.43
2,2024-01-09 10:56:37,1,4.55,241,3,Manhattan,1,21.56,0.5,1.0,2.75,0.0,2.72,28.53
2,2024-01-01 06:15:49,1,2.38,18,212,Manhattan,1,11.61,0.5,1.0,2.75,0.0,2.69,18.55
2,2024-01-26 11:39:57,4,3.62,186,173,Queens,2,12.22,0.5,1.0,0.0,0.0,0.09,13.81
2,2024-01-08 11:00:10,2,1.4,95,117,Brooklyn,1,9.76,0.5,1.0,0.0,0.0,2.43,13.69
2,2024-01-22 09:51:32,1,1.83,183,67,Manhattan,2,13.18,0.5,1.0,2.75,0.0,0.25,17.68
2,2024-01-01 03:48:34,6,1.64,213,252,Manhattan,2,11.06,0.5,1.0,2.75,0.0,0.19,15.5
1,2024-01-20 08:11:12,3,6.57,126,29,Manhattan,1,22.55,0.5,1.0,2.75,0.0,5.58,32.38
2,2024-01-14 20:47:59,1,1.4,58,226,Brooklyn,1,4.22,0.5,1.0,0.0,0.0,0.78,6.5
2,2024-01-17 13:40:45,4,4.01,206,136,Manhattan,1,17.15,0.5,1.0,2.75,0.0,2.89,24.29
1,2024-01-21 20:11:35,1,18.18,243,86,JFK Airport,2,70.61,0.5,1.0,0.0,0.0,1.46,73.57
1,2024-01-17 01:46:52,1,6.94,99,163,Bronx,1,22.88,0.5,1.0,0.0,0.0,3.02,27.4
1,2024-01-10 06:23:08,2,2.77,165,219,Staten Island,1,12.38,0.5,1.0,0.0,0.0,1.86,15.74
2,2024-01-08 12:46:39,1,3.22,99,82,Manhattan,2,15.89,0.5,1.0,2.75,0.0,0.37,20.51
1,2024-01-12 19:23:45,6,6.06,28,2,Manhattan,1,25.94,0.5,1.0,2.75,0.0,6.35,36.54
1,2024-01-15 13:46:22,1,0.59,58,101,Manhattan,1,10.25,0.5,1.0,2.75,0.0,1.58,16.08
1,2024-01-24 10:40:05,2,0.87,133,159,Queens,2,10.21,0.5,1.0,0.0,0.0,0.26,11.97
1,2024-01-05 18:13:33,1,1.95,93,115,Manhattan,1,12.24,0.5,1.0,2.75,0.0,2.2,18.69
1,2024-01-21 10:22:33,1,4.02,261,161,Queens,1,16.44,0.5,1.0,0.0,0.0,1.71,19.65
2,2024-01-04 08:31:21,6,5.55,66,263,Brooklyn,1,20.66,0.5,1.0,0.0,0.0,3.73,25.89
1,2024-01-20 12:48:25,1,2.48,250,7,Bronx,1,11.43,0.5,1.0,0.0,0.0,1.36,14.29
2,2024-01-27 23:24:37,2,0.54,259,83,Manhattan,2,8.33,0.5,1.0,2.75,0.0,0.02,12.6
1,2024-01-28 11:50:04,4,2.42,102,98,Manhattan,2,11.45,0.5,1.0,2.75,0.0,0.11,15.81
2,2024-01-06 15:06:48,4,4.25,158,140,Manhattan,1,14.69,0.5,1.0,2.75,0.0,1.85,20.79
2,2024-01-27 03:58:37,6,3.3,104,3,Queens,2,13.49,0.5,1.0,0.0,0.0,0.19,15.18
1,2024-01-10 19:38:42,4,12.56,154,200,LGA Airport,1,39.16,0.5,1.0,0.0,6.94,5.24,52.84
2,2024-01-12 18:57:49,2,4.06,213,80,Manhattan,1,17.6,0.5,1.0,2.75,0.0,3.52,25.37
1,2024-01-09 17:30:58,5,1.41,209,147,Manhattan,2,15.02,0.5,1.0,2.75,0.0,0.05,19.32
2,2024-01-01 12:56:36,6,0.52,37,138,Manhattan,1,10.87,0.5,1.0,2.75,0.0,2.48,17.6
1,2024-01-17 13:34:31,5,0.64,256,54,Manhattan,1,9.53,0.5,1.0,2.75,0.0,1.45,15.23
2,2024-01-28 18:37:14,2,2.0,129,211,Queens,1,7.43,0.5,1.0,0.0,0.0,1.2,10.13
1,2024-01-14 18:35:37,2,3.92,37,181,Queens,1,11.95,0.5,1.0,0.0,0.0,2.91,16.36
2,2024-01-09 17:57:03,2,4.3,81,116,Bronx,1,16.13,0.5,1.0,0.0,0.0,3.2,20.83
1,2024-01-10 14:56:49,2,3.77,233,8,Manhattan,1,16.09,0.5,1.0,2.75,0.0,2.29,22.63
1,2024-01-21 19:52:42,2,9.63,192,242,LGA Airport,2,30.67,0.5,1.0,0.0,6.94,0.28,39.39
1,2024-01-19 21:15:54,5,1.56,199,175,Brooklyn,1,8.76,0.5,1.0,0.0,0.0,1.58,11.84
2,2024-01-21 17:26:30,4,2.62,214,243,Bronx,1,11.72,0.5,1.0,0.0,0.0,2.83,16.05
2,2024-01-22 15:04:24,6,3.11,235,208,Manhattan,2,11.22,0.5,1.0,2.75,0.0,0.24,15.71
2,2024-01-19 08:34:55,4,1.21,262,236,Brooklyn,1,8.78,0.5,1.0,0.0,0.0,1.91,12.19
1,2024-01-13 22:09:18,2,20.08,230,65,JFK Airport,2,67.63,0.5,1.0,0.0,6.94,1.96,78.03
1,2024-01-23 00:18:25,1,2.06,49,28,Manhattan,2,14.25,0.5,1.0,2.75,0.0,0.21,18.71
1,2024-01-15 22:35:16,1,6.19,165,194,Manhattan,1,24.58,0.5,1.0,2.75,0.0,5.59,34.42
1,2024-01-22 13:56:35,4,1.1,71,162,Manhattan,2,5.65,0.5,1.0,2.75,0.0,0.05,9.95
1,2024-01-13 13:42:05,1,2.83,161,62,Brooklyn,1,10.99,0.5,1.0,0.0,0.0,1.12,13.61
1,2024-01-09 11:03:11,2,4.67,203,199,Manhattan,1,-19.31,0.5,1.0,2.75,0.0,3.83,29.3
1,2024-01-17 17:47:33,6,1.32,93,15,Manhattan,1,12.41,0.5,1.0,2.75,0.0,2.54,19.2
1,2024-01-25 16:55:12,3,2.12,116,76,Manhattan,1,15.8,0.5,1.0,2.75,0.0,3.35,23.4
1,2024-01-17 17:55:52,2,0.84,14,102,Brooklyn,1,-14.44,0.5,1.0,0.0,0.0,0.9,9.84
1,2024-01-06 18:37:34,1,14.32,97,132,LGA Airport,1,40.04,0.5,1.0,0.0,6.94,4.03,52.51
1,2024-01-04 14:11:34,6,1.07,119,183,Brooklyn,1,4.81,0.5,1.0,0.0,0.0,0.5,6.81
2,2024-01-04 20:22:14,4,2.31,66,31,Manhattan,2,15.3,0.5,1.0,2.75,0.0,0.32,19.87
2,2024-01-21 14:33:34,3,1.53,205,115,Brooklyn,2,7.54,0.5,1.0,0.0,0.0,0.18,9.22
1,2024-01-09 23:51:08,2,2.04,5,223,Manhattan,1,13.96,0.5,1.0,2.75,0.0,1.54,19.75
2,2024-01-17 20:40:36,6,1.07,29,19,Brooklyn,1,6.1,0.5,1.0,0.0,0.0,1.45,9.05
2,2024-01-05 16:20:12,1,2.06,245,11,Queens,1,9.82,0.5,1.0,0.0,0.0,1.98,13.3
2,2024-01-23 15:01:51,2,1.32,132,164,Queens,1,4.86,0.5,1.0,0.0,0.0,0.78,7.14
2,2024-01-01 18:00:45,2,1.31,190,245,Brooklyn,1,9.04,0.5,1.0,0.0,0.0,1.91,12.45
1,2024-01-20 06:09:43,1,3.7,85,248,Bronx,1,12.26,0.5,1.0,0.0,0.0,2.11,15.87
1,2024-01-12 21:22:15,1,3.84,41,249,Manhattan,2,17.33,0.5,1.0,2.75,0.0,0.43,22.01
1,2024-01-26 13:18:20,1,4.21,43,174,Queens,1,14.63,0.5,1.0,0.0,0.0,2.41,18.54
1,2024-01-21 16:54:13,6,3.99,31,182,Queens,1,13.89,0.5,1.0,0.0,0.0,3.25,18.64
1,2024-01-12 21:52:11,6,2.92,138,198,Queens,1,15.83,0.5,1.0,0.0,0.0,2.55,19.88
1,2024-01-23 06:36:31,3,3.81,110,203,Manhattan,1,19.03,0.5,1.0,2.75,0.0,4.75,28.03
2,2024-01-27 18:04:35,5,2.03,235,53,Queens,2,6.86,0.5,1.0,0.0,0.0,0.05,8.41
2,2024-01-06 21:18:23,3,1.27,5,2,Brooklyn,1,9.17,0.5,1.0,0.0,0.0,0.97,11.64
2,2024-01-07 23:31:55,5,2.46,87,95,Queens,2,8.71,0.5,1.0,0.0,0.0,0.05,10.26
1,2024-01-10 10:48:49,2,1.63,58,67,Brooklyn,1,9.72,0.5,1.0,0.0,0.0,1.59,12.81
1,2024-01-16 13:08:33,1,4.16,231,100,Manhattan,1,18.26,0.5,1.0,2.75,0.0,3.87,26.38
2,2024-01-08 10:38:35,4,5.14,229,2,Manhattan,1,17.87,0.5,1.0,2.75,0.0,2.31,24.43
2,2024-01-22 18:53:46,2,0.75,67,243,Bronx,1,6.64,0.5,1.0,0.0,0.0,1.28,9.42
2,2024-01-23 20:48:44,6,1.64,10,198,Queens,1,9.8,0.5,1.0,0.0,0.0,1.42,12.72
1,2024-01-26 06:57:01,1,2.46,212,157,Manhattan,1,11.41,0.5,1.0,2.75,0.0,1.62,17.28
2,2024-01-02 20:23:31,4,0.95,135,117,Bronx,1,8.14,0.5,1.0,0.0,0.0,1.2,10.84
2,2024-01-16 08:14:09,1,1.56,126,12,Manhattan,2,12.1,0.5,1.0,2.75,0.0,0.11,16.46
2,2024-01-22 02:58:50,2,2.87,212,253,Manhattan,1,15.44,0.5,1.0,2.75,0.0,2.21,21.9
1,2024-01-10 20:57:17,4,3.41,96,160,Manhattan,2,17.39,0.5,1.0,2.75,0.0,0.38,22.02
2,2024-01-21 08:42:07,1,1.16,125,102,Queens,1,5.11,0.5,1.0,0.0,0.0,0.59,7.2
2,2024-01-09 16:24:58,3,1.43,133,168,Manhattan,1,13.47,0.5,1.0,2.75,0.0,2.54,20.26
2,2024-01-17 13:54:29,4,3.15,68,40,Manhattan,2,15.13,0.5,1.0,2.75,0.0,0.23,19.61
1,2024-01-05 07:13:56,2,4.34,19,146,Manhattan,1,19.14,0.5,1.0,2.75,0.0,4.15,27.54
1,2024-01-27 09:16:33,1,1.42,181,240,Manhattan,1,5.8,0.5,1.0,2.75,0.0,1.16,11.21
1,2024-01-01 12:57:15,4,3.27,134,197,Brooklyn,1,10.86,0.5,1.0,0.0,0.0,2.58,14.94
2,2024-01-09 07:23:33,3,2.69,182,235,Manhattan,1,13.52,0.5,1.0,2.75,0.0,2.27,20.04
2,2024-01-19 07:26:08,1,4.61,194,106,Manhattan,1,21.34,0.5,1.0,2.75,0.0,3.76,29.35
2,2024-01-02 18:03:39,6,3.8,210,237,Staten Island,1,16.88,0.5,1.0,0.0,0.0,3.99,22.37
2,2024-01-05 15:37:19,6,1.82,52,160,Brooklyn,1,8.13,0.5,1.0,0.0,0.0,1.51,11.14
1,2024-01-22 18:11:56,1,9.16,30,58,Queens,1,32.03,0.5,1.0,0.0,0.0,7.52,41.05
2,2024-01-21 22:05:15,5,3.49,74,195,Queens,1,13.63,0.5,1.0,0.0,0.0,3.3,18.43
2,2024-01-06 06:27:57,1,10.9,213,110,JFK Airport,2,74.69,0.5,1.0,0.0,6.94,0.81,83.94
1,2024-01-22 20:47:44,4,2.5,172,37,Manhattan,1,12.99,0.5,1.0,2.75,0.0,1.85,19.09
2,2024-01-27 20:11:12,6,6.02,3,127,Brooklyn,1,21.8,0.5,1.0,0.0,0.0,3.65,26.95
2,2024-01-17 10:59:02,1,2.6,187,82,Manhattan,1,16.02,0.5,1.0,2.75,0.0,3.29,23.56
2,2024-01-05 08:10:51,4,2.32,33,109,Queens,1,11.94,0.5,1.0,0.0,0.0,1.58,15.02
2,2024-01-21 08:03:04,6,2.25,36,125,Manhattan,1,14.8,0.5,1.0,2.75,0.0,3.51,22.56
1,2024-01-13 07:01:34,1,4.24,40,246,Brooklyn,1,14.94,0.5,1.0,0.0,0.0,1.51,17.95
2,2024-01-06 15:31:43,6,2.93,30,27,Bronx,1,8.75,0.5,1.0,0.0,0.0,1.55,11.8
2,2024-01-12 18:56:31,6,4.88,252,57,Bronx,1,19.84,0.5,1.0,0.0,0.0,2.66,24.0
2,2024-01-09 17:48:39,6,16.36,242,127,JFK Airport,1,64.54,0.5,1.0,0.0,0.0,12.1,78.14
1,2024-01-20 18:06:01,1,7.57,41,35,Brooklyn,1,24.79,0.5,1.0,0.0,0.0,5.61,31.9
1,2024-01-07 17:54:06,4,14.32,90,55,Brooklyn,1,42.71,0.5,1.0,0.0,0.0,7.7,51.91
2,2024-01-08 17:26:13,1,1.33,100,262,Manhattan,1,11.49,0.5,1.0,2.75,0.0,1.67,17.41
1,2024-01-07 08:29:06,6,18.77,119,41,JFK Airport,2,72.5,0.5,1.0,0.0,0.0,0.26,74.26
1,2024-01-05 21:22:29,2,8.22,22,14,Manhattan,1,31.52,0.5,1.0,2.75,0.0,7.52,43.29
1,2024-01-10 08:26:03,1,0.0,239,13,Queens,2,16.44,0.5,1.0,0.0,0.0,0.07,18.01
1,2024-01-11 19:41:37,1,8.81,246,227,Manhattan,1,29.95,0.5,1.0,2.75,0.0,6.69,40.89
2,2024-01-22 13:38:02,6,4.08,235,152,Bronx,1,13.21,0.5,1.0,0.0,0.0,2.1,16.81
2,2024-01-27 15:59:35,2,5.91,24,233,Brooklyn,1,22.38,0.5,1.0,0.0,0.0,3.78,27.66
1,2024-01-17 06:05:43,5,16.63,246,151,JFK Airport,1,81.13,0.5,1.0,0.0,6.94,8.96,98.53
2,2024-01-06 19:20:16,2,4.04,95,102,Brooklyn,1,15.87,0.5,1.0,0.0,0.0,3.58,20.95
1,2024-01-01 01:34:09,1,1.28,24,193,Brooklyn,1,9.48,0.5,1.0,0.0,0.0,1.12,12.1
2,2024-01-01 15:59:13,6,1.29,29,134,Manhattan,1,8.83,0.5,1.0,2.75,0.0,0.97,14.05
1,2024-01-28 19:21:29,2,3.21,17,6,Brooklyn,1,11.22,0.5,1.0,0.0,0.0,2.58,15.3
1,2024-01-26 09:59:20,2,18.32,108,159,JFK Airport,1,78.16,0.5,1.0,0.0,6.94,18.59,105.19
2,2024-01-02 07:22:50,5,2.03,216,225,Brooklyn,1,11.22,0.5,1.0,0.0,0.0,2.13,14.85
2,2024-01-10 15:56:15,1,3.29,42,119,Brooklyn,2,12.04,0.5,1.0,0.0,0.0,0.2,13.74
2,2024-01-01 17:17:56,1,1.64,254,1,Brooklyn,1,10.28,0.5,1.0,0.0,0.0,2.27,14.05
2,2024-01-15 08:33:52,2,1.97,98,36,Queens,2,11.19,0.5,1.0,0.0,0.0,0.11,12.8
1,2024-01-27 20:42:53,6,2.18,238,261,Queens,1,9.83,0.5,1.0,0.0,0.0,1.15,12.48
1,2024-01-27 16:17:16,2,2.67,168,13,Queens,1,10.95,0.5,1.0,0.0,0.0,1.2,13.65
2,2024-01-25 13:56:01,1,3.88,155,118,Queens,1,14.44,0.5,1.0,0.0,0.0,1.57,17.51
1,2024-01-22 14:34:30,5,3.37,178,71,Queens,1,13.64,0.5,1.0,0.0,0.0,1.46,16.6
1,2024-01-16 19:36:43,1,0.97,111,4,Manhattan,1,12.18,0.5,1.0,2.75,0.0,1.58,18.01
1,2024-01-27 20:46:40,1,1.02,235,15,Manhattan,1,10.02,0.5,1.0,2.75,0.0,1.69,15.96
1,2024-01-08 22:52:36,3,1.18,49,252,Manhattan,1,15.57,0.5,1.0,2.75,0.0,1.92,21.74
1,2024-01-24 20:45:05,5,2.26,99,247,Manhattan,1,11.8,0.5,1.0,2.75,0.0,2.71,18.76
1,2024-01-17 07:49:02,5,3.19,199,159,Manhattan,1,18.13,0.5,1.0,2.75,0.0,3.28,25.66
2,2024-01-11 18:18:45,3,1.33,128,92,Manhattan,2,16.28,0.5,1.0,2.75,0.0,0.42,20.95
1,2024-01-06 11:32:13,2,4.31,48,20,Manhattan,1,15.91,0.5,1.0,2.75,0.0,3.35,23.51
2,2024-01-24 09:46:17,1,2.97,25,61,Manhattan,2,16.01,0.5,1.0,2.75,0.0,0.3,20.56
1,2024-01-02 14:06:19,2,0.88,75,198,Staten Island,1,5.0,0.5,1.0,0.0,0.0,0.7,7.2
1,2024-01-26 19:38:37,1,4.02,159,68,Queens,1,17.8,0.5,1.0,0.0,0.0,3.78,23.08
1,2024-01-02 14:39:04,6,5.67,5,3,Bronx,1,19.93,0.5,1.0,0.0,0.0,2.13,23.56
1,2024-01-03 17:44:56,3,1.2,250,84,Brooklyn,1,13.08,0.5,1.0,0.0,0.0,2.32,16.9
2,2024-01-24 21:23:01,6,4.23,167,178,Manhattan,1,18.47,0.5,1.0,2.75,0.0,3.89,26.61
2,2024-01-15 20:46:53,1,1.8,201,216,Manhattan,1,15.69,0.5,1.0,2.75,0.0,2.02,21.96
1,2024-01-21 20:47:14,1,4.03,105,73,Manhattan,1,19.17,0.5,1.0,2.75,0.0,2.12,25.54
1,2024-01-04 13:33:00,5,4.65,236,253,Manhattan,1,20.31,0.5,1.0,2.75,0.0,4.19,28.75
1,2024-01-09 17:59:38,2,9.88,179,130,JFK Airport,1,67.52,0.5,1.0,0.0,6.94,7.07,83.03
2,2024-01-03 18:16:59,3,4.35,220,118,Bronx,2,19.18,0.5,1.0,0.0,0.0,0.37,21.05
1,2024-01-10 13:05:57,2,9.02,86,7,Bronx,1,29.76,0.5,1.0,0.0,0.0,3.07,34.33
2,2024-01-21 07:22:21,3,2.33,186,81,Manhattan,1,13.41,0.5,1.0,2.75,0.0,2.7,20.36
2,2024-01-10 13:49:58,6,1.68,170,163,Brooklyn,1,11.68,0.5,1.0,0.0,0.0,1.98,15.16
